boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,num_ratings,complexity,wishlisted,total_plays,fans,amazon_price,comments,avg_rating
Horrified: American Monsters,2021,1,5,60,60,10,3350,2.18,1386,7877,348,39.99,566,7.447
Horseless Carriage,2023,3,5,180,240,14,1702,4.29,1015,4198,297,39.95,464,7.748
Hostage Negotiator,2015,1,1,20,20,13,6183,2.06,1651,38457,481,28.82,1418,6.787
Hyperborea,2014,2,6,50,150,14,5084,3.16,1278,10366,357,74.99,1079,7.164
Iberia,2016,2,5,45,45,8,11459,2.6,3719,30353,622,53.01,2012,7.878
ICECOOL,2016,2,4,30,30,6,11893,1.05,1850,50052,349,60,2066,6.786
Ierusalem: Anno Domini,2023,1,4,90,90,12,1870,3.11,946,4648,392,54.79,323,7.535
IKI,2015,2,4,60,90,14,6290,3.06,2769,16741,561,53.99,1155,7.615
Illusion,2018,2,5,15,15,8,5443,1.05,704,30393,140,12.95,885,6.712
I'm the Boss!,1994,3,6,60,60,12,4052,1.96,857,7294,147,40.21,1319,6.772
Imhotep: The Duel,2018,2,2,30,30,10,3340,1.97,892,11414,117,19.95,600,7.06
Imperial,2006,2,6,120,180,13,8932,3.56,2074,17439,456,50.5,2365,7.593
Imperial 2030,2009,2,6,120,180,12,7142,3.5,2088,11842,402,56.99,1366,7.641
Imperial Settlers: Empires of the North,2019,1,4,45,90,10,7803,2.81,3110,28488,522,39.95,1370,7.399
Imperial Steam,2021,2,4,120,120,12,2469,4.21,1142,6355,247,29,479,7.756
Imperial Struggle,2020,2,2,120,240,14,3129,4.06,2011,5841,580,54.81,880,8.239
Imperium: Classics,2021,1,4,60,120,14,8025,3.61,2685,38121,891,33.6,1362,7.694
Imperium: Legends,2021,1,4,40,160,14,4546,3.76,1521,10516,478,31.99,811,7.841
In the Footsteps of Darwin,2023,2,5,20,30,8,2609,1.68,1058,18032,245,40.99,373,7.351
In the Hall of the Mountain King,2019,2,5,90,90,12,4867,2.84,1715,11016,450,42.28,1155,7.557
In the Year of the Dragon,2007,2,5,75,100,12,12438,3.08,1957,33336,359,19.99,2784,7.294
Inferno,2024,1,4,45,120,14,1762,3.56,1476,5100,717,75.99,352,7.918
Infinity Gauntlet: A Love Letter Game,2020,2,6,15,15,10,3750,1.23,500,20644,136,10.49,607,6.928
Ingenious,2004,1,4,30,45,8,17723,1.91,2241,92794,432,39.87,4323,7.1
Inis,2016,2,4,60,90,14,22097,2.95,9202,50242,1769,70.39,3716,7.82
Innovation Ultimate,2025,2,5,30,60,14,841,3.21,1171,5913,249,75.03,227,8.564
Insider,2016,4,8,15,15,9,4795,1.11,1962,37850,196,22.99,840,7.03
Inventions: Evolution of Ideas,2024,1,4,60,150,14,2500,4.56,2317,8010,879,206.47,595,7.998
Inventors of the South Tigris,2024,1,4,90,120,12,1183,4.42,922,4128,234,45.86,311,7.934
Irish Gauge,2014,3,5,60,60,12,3676,2.37,1146,9940,182,28,763,7.191
Ishtar: Gardens of Babylon,2019,2,4,45,45,14,3428,2.25,1075,8554,206,39.99,657,6.967
Isle of Skye: From Chieftain to King,2015,2,5,30,50,8,26603,2.25,4551,95208,882,79.97,4065,7.391
ISS Vanguard,2022,1,4,90,120,13,6219,3.67,5097,37755,2232,159,1720,8.438
Istanbul,2014,2,5,40,60,10,32909,2.58,6232,109914,1344,69.99,4758,7.539
ito,2019,2,10,10,10,8,2457,1.02,1376,20008,172,17.99,448,7.286
It's a Wonderful Kingdom,2021,1,2,45,45,14,3566,2.58,1120,13906,337,30.48,701,7.084
It's a Wonderful World,2019,1,5,45,45,14,21764,2.32,6119,216694,1605,49.99,2974,7.641
Jaipur,2009,2,2,30,30,10,55706,1.46,8352,286135,2330,26.99,8700,7.483
Jamaica,2007,2,6,30,60,8,21593,1.66,4945,58239,908,39.95,4204,7.061
Jaws,2019,2,4,60,60,12,6681,2.15,1397,10868,392,42.41,1361,7.071
Jekyll vs. Hyde,2021,2,2,30,30,8,5052,1.85,1358,29591,279,16.32,726,7.194
Juicy Fruits,2021,1,4,20,50,8,2783,2.03,712,10764,131,28.95,545,7.013
Julius Caesar: Caesar. Pompey. and the Roman Civil War,2010,2,2,60,180,12,1805,2.45,1047,5120,242,89.98,656,7.793
Jump Drive,2017,2,4,10,30,13,5239,2.02,1347,77960,212,23.64,1260,7.001
K2,2010,1,5,60,60,8,10853,2.25,2541,28252,440,146.43,2052,7.004
Kabuto Sumo,2021,2,4,15,15,0,3895,1.15,1593,19902,285,39.99,737,6.733
Kahuna,1998,2,2,30,40,10,10152,2.06,1309,22606,181,32.14,2421,6.612
Kanban EV,2020,1,4,60,180,14,9280,4.3,5935,23415,2007,119.99,1462,8.39
Karak,2017,2,5,45,45,7,3732,1.3,1230,23997,361,40.67,685,7.175
Kariba,2010,2,4,15,15,6,2405,1.06,530,21930,135,14.99,464,7.024
Karuba,2015,2,4,30,40,8,11578,1.42,2706,64654,371,39.99,2114,7.166
Keep the Heroes Out!,2022,1,4,40,40,10,4991,2.48,3558,35430,1108,349.99,963,7.932
Keyflower,2012,2,6,90,120,12,24047,3.34,6619,65198,1262,58.37,4172,7.715
KeyForge: Age of Ascension,2019,2,2,15,45,14,2651,2.71,167,11963,114,9.99,474,7.17
KeyForge: Call of the Archons,2018,2,2,15,45,14,11626,2.49,1206,115694,718,54.99,1836,7.076
Keyper,2017,2,4,90,120,14,2217,3.56,789,5132,125,73.95,605,7.211
Khôra: Rise of an Empire,2021,2,4,75,75,14,4458,2.76,1325,14039,271,29.97,724,7.388
King of New York,2014,2,6,40,40,10,17086,1.87,2324,35315,580,99.94,2684,6.868
King of Tokyo,2011,2,6,30,30,8,74012,1.49,8265,400972,3788,37.09,11846,7.121
Kingdom Death: Monster,2015,1,4,60,180,17,10138,4.27,7352,56569,3358,979.98,2271,8.479
Kingdom Legacy: Feudal Kingdom,2024,1,1,360,480,14,1731,2.22,1057,14515,349,16,356,8.201
Kingdom Rush: Rift in Time,2020,1,4,45,90,10,2461,2.98,906,11219,397,53.95,659,7.307
Kingdomino,2016,2,4,15,25,8,51021,1.23,4942,426787,1745,24.99,7138,7.295
Kingdomino Origins,2021,2,4,20,40,8,2829,1.91,998,12241,146,26.6,455,7.469
Kites,2022,2,6,10,10,10,3687,1.06,1048,32244,199,19.03,548,6.884
KLASK,2014,2,2,10,10,8,11613,1.05,2511,122398,439,69.99,1532,7.629
Knarr,2023,2,4,30,30,10,6485,1.93,2623,50059,585,34.61,902,7.482
Kodama: The Tree Spirits,2016,2,5,30,30,14,6108,1.64,1000,14443,448,19.99,1249,6.66
Kronologic: Paris 1920,2024,1,4,30,30,10,1409,2.13,1397,9477,224,27.99,258,7.545
Kutná Hora: The City of Silver,2023,2,4,60,120,13,4669,3.33,2322,14355,712,56,814,7.773
L.L.A.M.A.,2019,2,6,20,20,8,9676,1.06,935,121270,233,12.99,1605,6.497
La Habana,2009,2,4,30,45,10,3272,2.21,542,8441,70,52.16,726,6.838
Labyrinth: The War on Terror. 2001,2010,1,2,180,180,12,5128,3.69,2083,12518,729,66.63,1562,7.568
Lacrimosa,2022,1,4,90,90,14,4491,3.17,2076,12595,587,75.99,728,7.642
Lacuna,2023,2,2,10,15,8,1970,1.07,1515,10364,181,31.99,383,7.4
Land vs Sea,2021,2,4,40,40,14,2710,1.74,1498,9563,245,29.95,503,7.079
Lanterns: The Harvest Festival,2015,2,4,30,30,8,11801,1.55,2116,42197,590,31.2,2209,6.861
Las Vegas Royale,2019,2,5,45,60,8,3211,1.44,1637,13058,208,82.25,555,7.47
Last Light,2023,2,4,45,75,14,2046,2.79,1822,5075,443,48.99,516,7.358
Last Night on Earth: The Zombie Game,2007,2,6,60,90,12,14260,2.3,2347,31590,1446,50.89,3467,6.9
Last Will,2011,2,5,45,75,14,10797,2.72,2761,26298,362,49.95,2094,7.164
Le Havre,2008,1,5,30,150,12,33111,3.71,9953,89248,2135,72.99,6224,7.838
Leaving Earth,2015,1,5,60,180,15,2966,3.76,3746,7425,658,149.95,871,7.727
Legacy of Dragonholt,2017,1,6,60,999,14,3381,1.27,2435,11786,448,58.98,911,7.197
Legacy of Yu,2023,1,1,60,60,12,3384,2.9,2993,24744,744,48.77,709,8.102
Legend of the Five Rings: The Card Game,2017,2,2,45,90,14,2928,4.01,705,16795,332,29.99,691,7.345
Legendary: A Marvel Deck Building Game,2012,1,5,30,60,14,23101,2.43,4166,194507,2756,57.08,4114,7.524
Legends of Andor,2012,2,4,60,90,10,20276,2.76,4317,54436,1334,39.99,3506,7.093
Let's Go! To Japan,2024,1,4,45,60,10,5851,2.25,3057,39214,1064,43.19,1035,7.633
Letter Jam,2019,2,6,45,45,10,5384,1.95,1200,25167,175,24.99,992,7.167
Lewis & Clark: The Expedition,2013,1,5,120,120,14,16217,3.32,3619,44356,772,44.75,2935,7.439
Liberté,1998,3,6,90,90,14,2771,3.31,755,4537,95,53.99,1082,7.109
Libertalia: Winds of Galecrest,2022,1,6,45,60,14,7701,2.19,3849,24712,670,59.99,1200,7.454
Liberty or Death: The American Insurrection,2016,1,4,180,360,14,1701,4.06,1082,2900,297,75.3,551,7.751
Life of the Amazonia,2023,1,4,60,150,14,2612,2.84,2437,10448,469,73,600,8.126
Lisboa,2017,1,4,60,120,12,12245,4.57,6563,31222,1438,119.99,2197,8.174
Little Town,2017,2,4,30,60,10,4589,1.95,1098,16614,244,12.99,749,7.154
Living Forest,2021,1,4,40,40,10,7514,2.21,2634,44366,508,100.99,1099,7.238
Lockup: A Roll Player Tale,2019,1,5,45,90,10,2636,2.45,1054,6999,233,49.99,522,7.341
London (Second Edition),2017,2,4,60,90,14,7605,2.72,1827,23230,362,40.37,1213,7.485
Long Shot: The Dice Game,2022,1,8,25,25,14,9560,1.93,3271,39026,652,28.47,1460,7.557
Lords of Hellas,2018,1,4,60,90,14,7565,3.33,2421,13370,1328,117.95,1497,7.627
Lorenzo il Magnifico,2016,2,4,60,120,12,14810,3.29,3157,46008,793,42.5,2174,7.834
Lost Cities,1999,2,2,30,30,10,49372,1.47,6548,397608,1634,19.7,10764,7.253
Lost Ruins of Arnak,2020,1,4,30,120,12,51953,2.93,14978,285051,5124,59.99,6410,8.071
Love Letter,2019,2,6,20,20,10,13548,1.11,1628,57223,674,10.49,1453,7.51
Love Letter,2012,2,4,20,20,10,70405,1.18,4675,396495,2711,14.99,11766,7.225
Luxor,2018,2,4,45,45,8,5023,1.91,1339,31360,209,60.77,895,7.199
Machi Koro,2012,2,4,30,30,10,35024,1.52,3439,130866,1110,29.95,5971,6.599
Machi Koro 2,2021,2,5,45,45,10,2273,1.54,949,9505,164,29.95,434,7.105
Mage Knight Board Game,2011,1,4,60,240,14,34503,4.37,12716,79847,5114,101.54,6577,8.08
Mage Wars Arena,2012,2,2,90,90,13,7966,3.68,2386,15909,1290,49.99,1861,7.57
Magic: The Gathering,1993,2,6,20,20,13,41819,3.28,865,765247,2423,74.97,8083,7.59
Maglev Metro,2021,1,4,60,90,14,3030,2.83,1446,9011,230,60.89,604,7.211
Mandala,2019,2,2,20,20,10,6787,1.78,2273,41869,316,32.99,1228,7.464
Mansions of Madness,2011,2,5,120,180,13,13908,3.24,2990,20900,1813,87.99,2506,7.255
Mansions of Madness: Second Edition,2016,1,5,120,180,14,38945,2.7,13456,100296,3796,87.99,5241,7.925
Maracaibo,2019,1,4,30,120,12,17965,3.91,6562,71304,1415,73.74,2657,7.969
Mare Nostrum: Empires,2016,3,5,90,120,14,4308,2.99,1215,8608,491,75,986,7.523
Mariposas,2020,2,5,45,75,14,5541,2.2,1641,13641,367,44.99,986,6.756
Marrakech,2007,2,4,30,30,6,5816,1.34,1071,29522,218,37.99,1136,6.703
Marrakesh,2022,2,4,120,120,14,3717,3.41,1916,14515,407,79.99,667,8.111
Marvel Champions: The Card Game,2019,1,4,45,90,14,26377,2.95,6084,586345,3516,48.99,3582,8.113
Marvel Dice Masters: Avengers vs. X-Men,2014,2,2,60,60,14,5700,2.3,684,29461,741,7.2,1131,7.091
Marvel Dice Masters: Uncanny X-Men,2014,2,2,60,60,14,3818,2.37,238,13008,250,19.99,712,7.141
Marvel Dice Throne: Scarlet Witch v. Thor v. Loki v. Spider-Man,2022,2,4,20,40,0,1537,2.43,241,5789,95,49.99,213,7.691
Marvel United,2020,1,4,40,40,14,12460,1.83,2113,99802,1054,34.95,2145,7.558
Marvel United: X-Men,2021,1,5,40,40,14,4323,1.99,659,22692,458,33.58,802,8.015
Marvel Zombies: A Zombicide Game,2023,1,6,60,60,14,2504,2.41,748,14062,480,110.25,538,7.949
Marvel: Crisis Protocol Core Set,2019,2,2,45,45,14,1074,3,416,8032,231,81.19,219,8.234
Marvel: Remix,2022,2,6,20,20,12,2897,1.77,630,30272,167,22.65,397,7.325
Masmorra: Dungeons of Arcadia,2017,1,5,60,90,14,2930,2.28,882,6227,389,79.99,769,7.031
Massive Darkness 2: Hellscape,2022,1,6,60,60,14,3837,2.74,2556,14743,766,109.99,841,8.02
Masters of Renaissance: Lorenzo il Magnifico  The Card Game,2019,1,4,30,45,14,2311,2.12,540,10008,126,96.99,449,7.1
Meadow,2021,1,4,60,90,10,12730,2.25,4926,53238,1222,43.99,1944,7.711
Medici,1995,2,6,60,60,10,8778,2.22,1759,30059,271,24.95,2621,7.186
Meeple Land,2020,2,4,45,45,8,1926,1.92,686,7825,118,35,287,7.202
Men-Nefer,2024,1,4,60,120,14,1904,3.69,1741,7436,442,64.99,321,8.206
Merchant of Venus (Second Edition),2012,1,4,120,240,14,3928,3,1701,7083,285,219.99,1108,7.125
Merchants of the Dark Road,2022,1,4,60,120,12,3711,3.27,2479,8839,695,47.58,948,7.352
Merv: The Heart of the Silk Road,2020,1,4,90,90,14,4372,3.43,1421,11669,323,49.99,764,7.495
Messina 1347,2021,1,4,60,140,14,3652,3.59,1283,11282,321,27.47,610,7.521
Mice and Mystics,2012,1,4,60,90,7,20217,2.73,8291,52241,2279,71.99,4222,7.213
MicroMacro: Crime City,2020,1,4,15,45,12,18335,1.1,4390,97918,814,34.34,2391,7.466
MicroMacro: Crime City  All In,2022,1,4,15,45,12,1454,1.09,742,11541,84,25.17,276,7.823
MicroMacro: Crime City  Full House,2021,1,4,15,45,10,4881,1.17,951,32249,185,26.45,678,7.661
Middle Ages,2024,2,5,30,30,10,2509,2.04,1367,17615,303,39.99,360,7.202
Mille Fiori,2021,2,4,60,90,10,5060,2.17,1668,23030,294,124.93,827,7.422
Millennium Blades,2016,2,5,80,120,12,5504,3.65,2233,10293,1083,80,1199,7.662
Mind MGMT: The Psychic Espionage “Game.”,2021,1,5,60,60,13,6507,2.91,4759,24356,889,60,1328,7.836
Mindbug: First Contact,2022,2,2,15,25,8,8020,1.93,2331,69296,840,27.12,1355,7.608
Minecraft: Builders & Biomes,2019,2,4,30,60,10,3477,1.99,573,10872,171,33.98,657,6.894
Mini Rogue,2020,1,2,30,45,12,3107,2.01,1260,17097,544,23.62,642,7.315
Mistborn: The Deckbuilding Game,2024,1,4,30,60,13,1661,2.68,2255,6092,659,36.9,335,7.757
Mists over Carcassonne,2022,1,5,35,35,8,2493,2.11,1326,29197,206,36.98,460,7.295
Miyabi,2019,2,4,45,45,8,1842,2.04,1329,7822,131,39.99,366,7.441
MLEM: Space Agency,2024,2,5,30,60,8,4831,1.7,1672,27509,432,32.99,785,7.177
Modern Art,1992,3,5,45,45,10,24344,2.28,6045,57511,967,31.95,5682,7.517
Monikers,2015,4,16,30,60,17,7193,1.09,2704,24555,425,24.99,1300,7.772
Monumental,2020,1,4,90,120,14,2141,2.89,1897,4473,723,123.92,632,7.413
Moon Colony Bloodbath,2025,1,5,45,90,14,1660,2.14,2286,7126,431,46.02,345,7.601
Moonrakers,2020,1,5,60,120,14,3698,2.46,3109,8840,778,159.95,811,7.715
Morels,2012,2,2,30,30,10,9872,1.74,2580,34494,558,26.95,2285,6.981
Mosaic: A Story of Civilization,2022,2,6,120,120,12,4696,2.98,1995,11976,553,39.99,1056,7.493
Mottainai,2015,2,5,15,30,13,4542,3.17,1319,28858,308,18.99,1338,7.04
Mountain Goats,2010,2,4,20,20,8,4853,1.22,973,41020,152,24,927,6.808
Mr. Jack,2006,2,2,30,30,9,18691,2.17,3206,59027,555,89.99,3814,6.964
Murano,2014,2,4,60,75,10,2340,2.72,677,6303,98,59.99,573,7.162
My City,2020,2,4,30,30,10,12549,1.98,4831,187716,679,24.49,1929,7.6
My City: Roll & Build,2022,1,6,30,30,10,2539,1.5,676,38488,148,19.93,427,7.059
My Island,2023,2,4,30,30,10,1569,2.26,1467,36614,205,27.99,310,7.338
My Little Scythe,2018,1,6,45,60,8,6147,2.02,1868,21985,458,60,1252,7.212
My Village,2015,2,4,60,90,12,2937,3.09,547,5914,88,73.99,622,6.92
Mycelia,2023,1,4,45,45,9,2207,1.89,1244,12586,356,21.98,368,7.39
Mysterium,2015,2,7,42,42,10,47280,1.89,9069,121328,2098,43.99,6646,7.2
Mysterium Park,2020,2,6,30,45,10,5258,1.44,1618,17938,290,29.97,891,7.018
Mythic Mischief,2022,1,4,45,90,14,1518,2.52,1998,7205,409,114,372,7.544
Naga Raja,2019,2,2,30,30,9,2768,2.02,1387,7988,147,28,537,7.098
Nanty Narking,2019,2,4,60,60,14,2098,2.32,995,5580,262,70,522,7.457
Nations: The Dice Game,2014,1,4,20,40,14,5816,2,1184,34602,190,44.92,1178,6.932
Navajo Wars,2013,1,2,120,120,12,1100,3.9,1238,3162,254,139.95,489,7.91
Neanderthal,2015,1,3,60,120,14,1870,3.77,699,5876,218,44.99,693,7.248
Nemesis,2018,1,5,90,180,12,34821,3.48,14803,82874,5471,138.63,5259,8.254
Nemesis: Lockdown,2022,1,5,90,180,12,7409,3.91,2901,15344,1229,131.85,1394,8.282
Nemo's War (Second Edition),2017,1,4,60,120,13,5652,3.29,3286,14714,1011,79.99,1562,7.803
NEOM,2018,1,5,45,45,10,2359,2.54,705,10456,111,28.46,531,7.209
Netrunner,1996,2,2,45,45,10,2501,2.93,400,5272,242,139.97,851,7.448
Neuroshima Hex,2006,2,4,30,30,8,15514,2.61,3060,78284,1064,24.92,3233,7.385
New Frontiers,2018,2,5,45,75,14,4068,2.97,1823,18677,263,55.46,872,7.402
New York 1901,2015,2,4,30,60,8,6511,2.05,1062,14139,290,34.95,1379,6.787
Newton,2018,1,4,90,90,14,7736,3.39,2039,29028,383,29.99,1305,7.509
Next Station: London,2022,1,4,25,30,8,6493,1.48,1407,105015,340,17.99,782,7.433
Next Station: Tokyo,2023,1,4,25,30,8,2140,1.81,510,22557,102,19.99,257,7.166
Nexus Ops,2005,2,4,90,90,12,9175,2.23,2336,21360,452,54.12,3181,7.215
Nidavellir,2020,2,5,45,45,10,15329,2.11,3932,71459,702,31.99,2022,7.565
Nightmare Productions,2000,2,5,60,60,10,5947,2.1,1520,13976,160,41.86,2132,7.067
Noctiluca,2019,1,4,30,30,8,2121,1.34,1009,10979,161,30,461,7.096
Normandy '44,2010,2,3,420,420,0,1203,3.37,547,1596,243,48.83,471,7.902
Northgard: Uncharted Lands,2022,2,5,45,90,13,2650,2.75,1509,6688,854,79.99,484,7.597
Not Alone,2016,2,7,30,45,10,11587,1.98,2218,34980,440,19.95,1791,6.961
Notre Dame,2007,2,5,45,75,10,13631,2.74,1924,44041,333,39.99,3131,7.31
Oath,2021,1,6,45,150,10,8763,4.12,7175,19381,2178,85.6,1989,7.737
Oathsworn: Into the Deepwood,2022,1,4,30,90,14,6184,3.69,5920,36018,2597,349.99,1647,8.822
Obscurio,2019,2,8,40,40,10,4388,1.91,2610,10047,288,39.19,801,7.081
Oceanos,2016,2,5,30,45,8,3518,1.83,900,10140,110,31.99,728,6.786
Oceanos,2016,2,5,30,45,8,3518,1.83,900,10140,110,31.99,728,6.786
Oceans,2020,2,4,60,90,12,7280,2.85,3516,20487,685,54.99,1573,7.41
Olympos,2011,2,5,45,90,10,2745,2.96,583,4855,101,54.55,733,6.897
Omen: A Reign of War,2011,2,2,30,30,12,1845,2.33,698,5815,246,78.19,761,7.292
On Mars,2020,1,4,90,150,14,14075,4.63,8235,37172,2963,111.99,2285,8.17
One Deck Dungeon,2016,1,2,30,45,14,12379,2.09,3550,56389,1000,23.81,2741,6.939
One Deck Dungeon: Forest of Shadows,2017,1,2,30,45,14,3383,2.33,763,8478,287,21.98,831,7.082
One Night Ultimate Werewolf,2014,3,10,10,10,8,29792,1.38,3488,220773,1164,24.95,4905,7.04
One Night Ultimate Werewolf: Daybreak,2015,3,10,10,10,8,6297,1.38,1026,16494,239,27.29,1102,7.284
Onirim (Second Edition),2014,1,2,15,15,10,10929,1.61,2481,120555,602,28.99,2205,7.04
Onitama,2014,2,2,15,20,10,24012,1.66,6851,120934,1086,31.62,4019,7.343
Ora et Labora,2011,1,4,60,180,13,11384,3.89,3643,23595,620,58.28,2142,7.681
Orchard: 9 card solitaire game,2018,1,1,5,10,8,4025,1.19,1163,74663,410,19.99,1013,7.253
Orichalcum,2022,2,4,45,60,10,2123,2.2,863,5860,152,18.67,377,7.123
Otys,2017,1,4,60,60,14,2598,2.9,656,6013,149,23.74,556,6.949
Outfoxed!,2014,2,4,20,20,5,5193,1.1,1209,34992,255,32.89,1318,7.141
Overboss: A Boss Monster Adventure,2021,1,5,20,30,8,2346,2.04,953,10435,210,37.49,507,7.287
Pagan: Fate of Roanoke,2022,2,2,30,60,12,3930,3.03,2674,14375,756,39.85,644,7.952
Paint the Roses,2022,2,5,50,70,11,2810,2.46,1781,13971,340,39.99,646,7.19
Paladins of the West Kingdom,2019,1,4,90,120,12,19579,3.71,6224,59250,1617,52.44,2774,7.964
Paleo,2020,2,4,45,60,10,14763,2.65,6591,76336,1393,51.41,1944,7.666
Palm Island,2018,1,2,15,15,10,6769,1.75,1809,59512,707,24.99,1436,7.066
