Country_of_Origin,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,farm_altitude_mean_meters,Total_Cup_Points
Colombia,2010,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,0.01,1800,80.83
Guatemala,2013,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,0.11,1200,80.83
Laos,2016,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,0,1300,80.83
Mexico,2012,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,0.13,1210,80.83
Mexico,2012,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,0.11,1100,80.83
Mexico,2012,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,0.13,431.999136,80.83
Brazil,2014,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,0.12,1200,80.92
Brazil,2014,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,0.1,1100,80.92
Guatemala,2017,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,0.1,1901,80.92
Guatemala,2014,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,0.12,399.483072,80.92
Kenya,2017,7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,0.11,1600,80.92
Mexico,2017,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,0.11,1100,80.92
Mexico,2012,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,0.13,1186,80.92
Myanmar,2015,7.17,7.42,7,7.58,7.33,7,10,10,10,7.42,0,1,80.92
Nicaragua,2013,7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,0.1,1050,80.92
Taiwan,2017,7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,7.25,0,442,80.92
Taiwan,2014,7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,6.75,0.09,566.708544,80.92
Taiwan,2013,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,900,80.92
Taiwan,2013,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,0.11,688,80.92
Taiwan,2013,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,464.5152,80.92
Tanzania (United Republic Of),2014,7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,7.25,0.12,1700,80.92
Uganda,2013,7.33,7.58,7.5,7.75,7.75,7.67,10,10,7.75,7.58,0.12,1600,80.92
Colombia,2016,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,0,1600,81
El Salvador,2017,7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,7.25,0,1450,81
Guatemala,2016,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,0.09,3280,81
Guatemala,2015,7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,0.11,175,81
Honduras,2014,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,0.12,1350,81
Mexico,2012,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,0.12,950,81
Mexico,2012,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,0,1100,81
Taiwan,2015,7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,7.33,0.12,758,81
Taiwan,2013,7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,7.25,0.11,1100,81
Tanzania (United Republic Of),2014,7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,7.33,0.12,1525,81
Thailand,2012,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,0,800,81
Uganda,2013,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,0.12,1700,81
Brazil,2016,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,0.11,695,81.08
Costa Rica,2014,7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,7.17,0.13,1500,81.08
Mexico,2012,7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,7.25,0.13,1650,81.08
Mexico,2012,7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,7.08,0.12,1300,81.08
Mexico,2012,7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,7.25,0.11,1642,81.08
Mexico,2012,7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,7.25,0.1,1200,81.08
Nicaragua,2015,7.33,7.33,7.33,7.42,7.33,7.33,10,10,10,7,0.11,1100,81.08
Tanzania (United Republic Of),2014,7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,7.17,0.13,1456,81.08
United States,2014,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,7.17,0,399.483072,81.08
United States (Puerto Rico),2013,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,8.5,0,1,81.08
Brazil,2012,7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,0.12,1000,81.17
Costa Rica,2015,7.5,7.5,7.33,7.17,7.08,7.17,10,10,10,7.42,0.11,1300,81.17
Costa Rica,2014,7.33,7.08,7.33,7.25,7.33,7.58,10,10,10,7.25,0.11,1300,81.17
Guatemala,2012,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,0.12,1450,81.17
Honduras,2015,7.42,7.33,7,7.42,7.33,7.33,10,10,10,7.33,0.13,1450,81.17
Malawi,2014,7.58,7.25,7.33,7.08,7.33,7.33,10,10,10,7.25,0.12,995,81.17
Mexico,2015,7.75,7.58,7.08,7.25,7.08,7.25,10,10,10,7.17,0.12,1200,81.17
Mexico,2012,7.42,7.25,7.08,7.75,7.42,7.17,10,10,10,7.08,0.13,1800,81.17
Nicaragua,2016,7.33,7.5,7.17,7.17,7.58,7.17,10,10,10,7.25,0.09,1200,81.17
Philippines,2014,7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,7.25,0,1200,81.17
Tanzania (United Republic Of),2015,7.67,7.17,7.17,7.33,7.5,7.17,10,10,10,7.17,0.12,1050,81.17
Tanzania (United Republic Of),2014,7.58,7.17,7.17,7.33,7.33,7.25,10,10,10,7.33,0.12,1550,81.17
Thailand,2014,6.83,7.42,7.42,7.17,7.5,7.42,10,10,10,7.42,0.12,1450,81.17
Brazil,2015,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,0,418.06368,81.25
Guatemala,2014,7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,0.09,1700,81.25
Guatemala,2013,7.5,7.33,7.5,7.58,7,7.25,10,10,10,7.08,0.11,399.483072,81.25
Honduras,2015,7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,7.42,0.12,1400,81.25
India,2013,7.5,7.5,7.25,7.83,7.67,7.83,10,10,7.83,7.83,0.13,750,81.25
Mexico,2012,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,10,7.5,0.12,1500,81.25
Nicaragua,2015,7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,7.5,0.1,1100,81.25
Taiwan,2015,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,5.25,0.12,680,81.25
Taiwan,2013,7.5,7.5,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,650,81.25
Tanzania (United Republic Of),2014,7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,7.42,0.13,1700,81.25
Brazil,2015,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,0.11,1100,81.33
Brazil,2014,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,0.12,1200,81.33
Honduras,2016,7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,0.11,1500,81.33
Honduras,2015,7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,0.09,1350,81.33
Honduras,2014,7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,7.33,0.12,1450,81.33
Malawi,2014,7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,7.25,0.13,1200,81.33
Mexico,2016,7.67,7.42,7,7.42,7.58,7.08,10,10,10,7.17,0.12,1130,81.33
Mexico,2012,7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,7.25,0.13,1800,81.33
Mexico,2012,7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,0.12,1000,81.33
Philippines,2014,7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,0.14,1400,81.33
Brazil,2015,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,0.11,1100,81.42
Brazil,2014,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,0,1100,81.42
Colombia,2011,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,0.11,1750,81.42
Colombia,2010,7.75,7.33,7.42,7,7.33,7.25,10,10,10,7.33,0.16,1880,81.42
Guatemala,2016,7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,0.1,371.61216,81.42
Guatemala,2014,7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,0.1,1550,81.42
Guatemala,2013,7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,0.12,371.61216,81.42
Honduras,2015,7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,0.12,1400,81.42
India,2015,7.75,7.75,7.67,7.67,7.58,7.58,10,10,7.58,7.83,0,1000,81.42
Malawi,2014,7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,0.12,1422,81.42
Mexico,2017,7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,0.12,1100,81.42
Mexico,2014,7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,0,1550,81.42
Mexico,2012,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,0.13,763,81.42
Mexico,2012,7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,7.25,0.13,1100,81.42
Taiwan,2014,7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,0.12,431.999136,81.42
Brazil,2014,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,0,1200,81.5
Brazil,2012,7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,0.12,439,81.5
Colombia,2011,7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,7.33,0.06,1450,81.5
Costa Rica,2014,7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,7.33,0.12,1200,81.5
Guatemala,2017,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,0.1,165,81.5
Guatemala,2014,7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,7.17,0.12,170,81.5
Haiti,2013,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,0.11,825,81.5
Honduras,2017,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,0.1,1400,81.5
Indonesia,2012,7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,0.12,1400,81.5
Malawi,2014,7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,7.33,0.12,1599,81.5
Mexico,2013,7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,7.25,0.13,1150,81.5
Mexico,2012,7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,7.17,0.12,1600,81.5
Mexico,2012,7.42,7.25,7.17,7.42,7.17,8,10,10,10,7.08,0.12,1100,81.5
Mexico,2012,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,0.11,1000,81.5
Mexico,2012,7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,7.5,0.13,1250,81.5
Mexico,2012,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,0.11,1100,81.5
Myanmar,2015,7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,7.42,0,168,81.5
Nicaragua,2017,7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,7.33,0.11,1100,81.5
Taiwan,2015,7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,7.33,0.12,442,81.5
Taiwan,2014,7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,7.5,0.11,900,81.5
Taiwan,2013,7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,7.42,0.11,600,81.5
Uganda,2013,8,7.75,7.75,7.58,7.67,7.5,10,10,7.58,7.67,0.11,1367,81.5
Uganda,2014,8,7.67,7.75,7.5,7.67,7.58,10,10,7.58,7.75,0.12,1488,81.5
Brazil,2013,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,0.12,1260,81.58
Costa Rica,2015,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,0.12,427.353984,81.58
Guatemala,2017,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,7.42,0.12,190164,81.58
Guatemala,2013,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,0.12,371.61216,81.58
Honduras,2018,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,0.11,1200,81.58
India,2015,7.67,7.83,7.75,7.5,7.75,7.58,10,10,7.75,7.75,0.11,1000,81.58
India,2014,7.58,7.58,7.67,7.58,7.67,7.67,10,10,7.5,8.33,0,750,81.58
Malawi,2014,7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,7.33,0.13,1100,81.58
Mexico,2013,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,0.12,1400,81.58
Mexico,2012,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,7.33,0.11,1600,81.58
Mexico,2012,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,7.67,0.11,1650,81.58
Taiwan,2016,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,0.1,800,81.58
Taiwan,2014,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,7,0,850,81.58
Tanzania (United Republic Of),2014,7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,0.12,1800,81.58
Thailand,2011,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,7.33,0.01,399.483072,81.58
Brazil,2017,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,0.11,890,81.67
Brazil,2015,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,0,418.06368,81.67
Brazil,2014,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,0.1,1260,81.67
Costa Rica,2013,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,0.11,1850,81.67
Guatemala,2017,7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,0.1,1700,81.67
Guatemala,2017,7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,0.12,150,81.67
Guatemala,2012,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,0.11,399.483072,81.67
Honduras,2016,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,0.11,1450,81.67
Honduras,2014,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,0.1,1400,81.67
Mexico,2013,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,0.12,1400,81.67
Mexico,2012,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,0.13,1650,81.67
Mexico,2012,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,0.11,1400,81.67
Mexico,2012,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,0.11,1200,81.67
Mexico,2012,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,0.11,1400,81.67
Mexico,2012,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,0.11,940,81.67
Taiwan,2013,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,0.11,441,81.67
Taiwan,2013,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,0.11,750,81.67
Tanzania (United Republic Of),2016,7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,7.58,0,1800,81.67
Tanzania (United Republic Of),2014,7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,0.12,1500,81.67
Tanzania (United Republic Of),2013,7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,0.12,1700,81.67
Colombia,2011,7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,0,1750,81.75
Guatemala,2017,7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,0.11,1700,81.75
Mexico,2012,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,0.13,774,81.75
Mexico,2012,7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,0.13,1250,81.75
Mexico,2012,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,0.11,1100,81.75
Mexico,2012,7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,0.12,1550,81.75
Mexico,2012,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,0.12,1650,81.75
Tanzania (United Republic Of),2014,7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,0.12,1600,81.75
Uganda,2014,7.58,7.92,7.75,7.83,7.5,7.67,10,10,7.67,7.83,0.12,1095,81.75
Vietnam,2014,7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,0.12,1040,81.75
Brazil,2016,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,0.11,973,81.83
Brazil,2015,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,0,404.128224,81.83
Brazil,2015,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,0,413.511431,81.83
Brazil,2014,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,0.11,1100,81.83
Brazil,2012,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,0.12,1250,81.83
Brazil,2011,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,0.02,925,81.83
Colombia,2013,7.5,7.5,7,7.42,7.5,7.58,10,10,10,7.33,0,1775,81.83
Colombia,2011,7.58,7.5,7.17,7.58,7.33,7.33,10,10,10,7.33,0.05,1700,81.83
Costa Rica,2016,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,0,1900,81.83
Costa Rica,2015,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,0.09,1300,81.83
Guatemala,2017,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,0.1,1,81.83
Guatemala,2015,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,0.1,3280,81.83
Guatemala,2013,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,7.5,0.11,371.61216,81.83
Honduras,2015,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,0.12,1400,81.83
Honduras,2014,7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,7.5,0.1,1350,81.83
Indonesia,2015,7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,5.17,0.11,1250,81.83
Indonesia,2014,7.42,7.42,7.42,7.33,7.42,7.42,10,10,10,7.42,0.11,1300,81.83
Malawi,2014,7.58,7.42,7.33,7.33,7.33,7.42,10,10,10,7.42,0.13,1556,81.83
Mexico,2015,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,0.11,1425,81.83
Mexico,2014,7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,7.5,0.11,1550,81.83
Mexico,2012,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,0.12,1500,81.83
Mexico,2012,7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,0.12,1250,81.83
Myanmar,2015,7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,7.33,0,4001,81.83
Taiwan,2014,7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,7.33,0,700,81.83
Brazil,2016,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,0.11,1020,81.92
Brazil,2012,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,0.12,1100,81.92
Colombia,2010,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,0.09,1600,81.92
El Salvador,2014,7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,7.33,0.11,1250,81.92
Guatemala,2017,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,0.1,1901,81.92
Guatemala,2017,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,0.11,150,81.92
Guatemala,2015,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,0.11,1550,81.92
Honduras,2017,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,0.12,1400,81.92
Mexico,2013,7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,7.25,0.12,1300,81.92
Mexico,2012,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,0.13,981,81.92
Mexico,2012,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,0.14,690,81.92
Mexico,2012,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,0.12,1650,81.92
Mexico,2012,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,0.12,1000,81.92
Taiwan,2012,7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,7.25,0.11,1000,81.92
Tanzania (United Republic Of),2014,7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,0.12,1877,81.92
Zambia,2014,7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,0,1250,81.92
Brazil,2016,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,0.11,944,82
Brazil,2012,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,0.11,1038.5,82
Brazil,2012,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,0.12,1000,82
Brazil,2012,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,0.11,1050,82
Brazil,2012,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,0.12,950,82
Colombia,2013,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,0.11,1900,82
Costa Rica,2013,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,0.1,1300,82
Guatemala,2012,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,0,371.61216,82
Honduras,2017,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,0.12,1600,82
Honduras,2016,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,0.1,1600,82
Honduras,2014,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,0.11,1400,82
Laos,2015,7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,7.5,0.12,1250,82
Malawi,2014,7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,7.33,0.13,2500,82
Mexico,2012,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,0.12,940,82
