Country_of_Origin,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,farm_altitude_mean_meters,Total_Cup_Points
Taiwan,2013,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,0.09,600,82
Taiwan,2012,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,0.12,650,82
Tanzania (United Republic Of),2015,7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,0.13,1650,82
Tanzania (United Republic Of),2014,7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,0.12,1350,82
Thailand,2013,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,0.11,800,82
Brazil,2016,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,0.11,894,82.08
Brazil,2015,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,0,404.128224,82.08
Colombia,2011,7.67,7.42,7.67,7.33,7.25,7.58,10,10,10,7.17,0.08,1600,82.08
Costa Rica,2015,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,0,1300,82.08
Costa Rica,2013,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,0.11,423.9165715,82.08
Indonesia,2017,7.5,7.5,7.42,7.42,7.5,7.42,10,10,10,7.33,0.15,1300,82.08
Mexico,2012,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,0.13,1300,82.08
Mexico,2012,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,0.13,1800,82.08
Mexico,2012,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,0.11,1250,82.08
Mexico,2012,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,0.11,1250,82.08
Tanzania (United Republic Of),2014,7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,0.12,1500,82.08
Tanzania (United Republic Of),2014,7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,0.12,1600,82.08
Vietnam,2012,7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,0.12,1040,82.08
Brazil,2016,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,0.11,934,82.17
Brazil,2015,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,0,399.483072,82.17
Colombia,2013,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,0,1750,82.17
Colombia,2010,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,7.42,0.08,1800,82.17
Guatemala,2014,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,0.09,1500,82.17
Guatemala,2012,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,0.12,1350,82.17
Honduras,2015,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,0.11,1500,82.17
Honduras,2015,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,0.11,1350,82.17
Mexico,2013,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,0.12,1100,82.17
Mexico,2013,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,0.1,1400,82.17
Mexico,2012,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,0.15,1144,82.17
Mexico,2012,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,0.12,1000,82.17
Mexico,2012,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,0.1,1200,82.17
Taiwan,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,0.11,1200,82.17
Taiwan,2012,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,0,800,82.17
Tanzania (United Republic Of),2015,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0.13,1650,82.17
Tanzania (United Republic Of),2015,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,0.12,1600,82.17
Tanzania (United Republic Of),2014,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,0.12,1700,82.17
Thailand,2014,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,0.12,800,82.17
Brazil,2015,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,0,399.483072,82.25
Brazil,2014,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,0.11,1100,82.25
Colombia,2012,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,0.12,1750,82.25
Colombia,2012,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,0.11,1775,82.25
El Salvador,2014,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,0.12,1500,82.25
Guatemala,2016,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,0.11,1450,82.25
Guatemala,2012,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,0.11,371.61216,82.25
Honduras,2015,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,0.11,1350,82.25
Malawi,2014,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,0.13,1180,82.25
Mexico,2013,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,0.12,1338,82.25
Mexico,2012,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,0.16,550,82.25
Mexico,2012,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,0.13,1170,82.25
Mexico,2012,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,0.12,1250,82.25
Mexico,2012,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,0.11,1100,82.25
Mexico,2012,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,0.1,900,82.25
Taiwan,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,0.11,650,82.25
Brazil,2016,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,0.11,982,82.33
Brazil,2016,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,0.11,934,82.33
Brazil,2015,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,0.07,1268,82.33
Brazil,2014,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,0.11,1100,82.33
Brazil,2012,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,0.12,1100,82.33
Brazil,2012,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,0.11,950,82.33
China,2015,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,0.12,1580,82.33
Colombia,2013,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,0.1,1300,82.33
Colombia,2013,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,0,1750,82.33
Colombia,2012,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,0,533,82.33
Costa Rica,2015,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,0.1,1850,82.33
Costa Rica,2015,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,0,1550,82.33
Guatemala,2015,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,0.1,399.483072,82.33
Guatemala,2014,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,0.12,399.483072,82.33
Guatemala,2013,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,0.12,350,82.33
Guatemala,2012,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,0.11,399.483072,82.33
Guatemala,2012,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,0.1,371.61216,82.33
Honduras,2017,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,0.1,1396,82.33
Malawi,2014,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,0.12,1450,82.33
Mexico,2013,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,0.12,1300,82.33
Mexico,2012,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,0.15,464.5152,82.33
Mexico,2012,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,0.13,1170,82.33
Mexico,2012,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,0.11,1300,82.33
Taiwan,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,0.11,442,82.33
Taiwan,2013,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,0.11,600,82.33
Brazil,2015,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,0,399.483072,82.42
Brazil,2012,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,0.12,1000,82.42
Brazil,2013,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,0,1260,82.42
China,2015,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,0.1,1600,82.42
Colombia,2016,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,0.11,1600,82.42
Colombia,2013,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,0.11,1775,82.42
Colombia,2012,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,0,532,82.42
Colombia,2011,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,0,1750,82.42
Colombia,2011,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,0.02,1750,82.42
Guatemala,2017,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,0.1,1700,82.42
Guatemala,2016,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,0.12,1700,82.42
Guatemala,2017,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,0.12,1,82.42
Guatemala,2013,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,0.1,1400,82.42
Honduras,2017,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,0.12,1500,82.42
Mexico,2014,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,0.11,1296,82.42
Mexico,2013,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,0.12,1170,82.42
Mexico,2013,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,0.12,1560,82.42
Mexico,2012,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,0.13,1400,82.42
Mexico,2012,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,0.14,1300,82.42
Mexico,2012,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,0.13,1170,82.42
Mexico,2012,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,0.11,1300,82.42
Mexico,2012,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,0.14,1350,82.42
Mexico,2012,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,0.11,1150,82.42
Mexico,2012,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,0.13,1250,82.42
Mexico,2012,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,0.12,1450,82.42
Tanzania (United Republic Of),2015,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,0.13,2285,82.42
Uganda,2014,7.67,7.83,7.83,7.83,7.92,7.75,10,10,7.75,7.83,0.12,1100,82.42
Brazil,2017,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,0.11,890,82.5
Brazil,2013,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,0.11,1260,82.5
Brazil,2012,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,0,1250,82.5
Colombia,2013,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,0.11,1750,82.5
Colombia,2012,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,0.11,1775,82.5
Guatemala,2016,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,0.1,130.064256,82.5
Guatemala,2013,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,0.12,350,82.5
Guatemala,2013,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,0.11,350,82.5
Honduras,2017,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,0.1,1400,82.5
India,2017,7.67,7.75,7.83,7.67,7.92,7.83,10,10,7.92,7.92,0.1,3140,82.5
India,2015,7.67,7.75,7.58,7.83,7.83,8,10,10,7.92,7.92,0.09,1000,82.5
Indonesia,2017,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,0.11,1250,82.5
Mexico,2013,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,0,1600,82.5
Mexico,2012,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,0.13,1679,82.5
Mexico,2012,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,0.12,1100,82.5
Mexico,2012,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,0.11,1650,82.5
Tanzania (United Republic Of),2014,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,0.12,1600,82.5
Thailand,2014,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,0.12,800,82.5
Thailand,2014,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,0.11,1450,82.5
Brazil,2011,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,0,975,82.58
Colombia,2013,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,0.11,1750,82.58
Colombia,2012,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,0.11,1750,82.58
Colombia,2013,7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,0.11,1750,82.58
Colombia,2012,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,0.11,1775,82.58
Costa Rica,2013,7.67,7.42,7.5,7.67,7,7.75,10,10,10,7.58,0.11,1300,82.58
Guatemala,2017,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,125,82.58
India,2014,7.67,7.75,7.83,7.83,7.92,7.75,10,10,8,7.83,0,750,82.58
Indonesia,2015,7.83,7.58,7.42,7.33,7.42,7.5,10,10,10,7.5,0.13,1250,82.58
Mexico,2012,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,0.1,1250,82.58
Mexico,2012,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,0.12,1150,82.58
Taiwan,2016,7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,0.11,1050,82.58
Taiwan,2016,7.25,7.25,7,7.08,7,7,10,10,10,10,0.11,442,82.58
Tanzania (United Republic Of),2014,7.75,7.42,7.33,7.5,7.58,7.5,10,10,10,7.5,0.12,1317,82.58
Thailand,2014,7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,7.5,0.12,800,82.58
Thailand,2014,7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,7.5,0.12,1450,82.58
Uganda,2013,7.83,7.5,7.42,7.58,7.42,7.42,10,10,10,7.42,0.12,1650,82.58
Brazil,2017,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,0,890,82.67
Brazil,2016,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,0.11,934,82.67
Brazil,2015,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,0,399.483072,82.67
Colombia,2012,7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,0.11,1800,82.67
Colombia,2011,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,0.11,3850,82.67
Colombia,2010,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,0.08,1800,82.67
El Salvador,2016,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,0,1200,82.67
Guatemala,2012,7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,0.11,1500,82.67
Laos,2015,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.58,0.13,1300,82.67
Mexico,2016,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,0.11,1300,82.67
Mexico,2014,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,0.11,1296,82.67
Mexico,2012,7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,7.58,0.11,1100,82.67
Mexico,2012,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,0.12,950,82.67
Mexico,2010,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,0,1400,82.67
Taiwan,2014,8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,0.08,1200,82.67
Taiwan,2013,7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,0.11,1240,82.67
Tanzania (United Republic Of),2014,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,0.12,1700,82.67
Tanzania (United Republic Of),2014,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,0.12,1550,82.67
Thailand,2013,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,0.11,1500,82.67
Uganda,2013,7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,0.12,1650,82.67
Brazil,2015,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,0.11,905,82.75
China,2015,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,0.1,1100,82.75
China,2015,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,0.11,1500,82.75
Colombia,2014,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,0,1775,82.75
Colombia,2014,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,0.12,442,82.75
Colombia,2013,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,0.1,1300,82.75
Colombia,2012,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,0,1625,82.75
Colombia,2012,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,0.11,1775,82.75
Costa Rica,2016,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,0.09,1850,82.75
El Salvador,2017,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,7.67,0,1250,82.75
Guatemala,2017,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,0.11,1800,82.75
Guatemala,2017,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,0.11,1700,82.75
Guatemala,2017,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,0.1,100,82.75
Guatemala,2017,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,0.1,110,82.75
Guatemala,2017,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,0.12,1,82.75
Guatemala,2014,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,0.13,399.483072,82.75
Honduras,2017,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,0.09,1400,82.75
India,2012,8,7.92,7.67,8,7.75,7.92,10,10,7.75,7.75,0,3000,82.75
Indonesia,2017,7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,0.12,1500,82.75
Malawi,2014,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,0.12,1442,82.75
Mexico,2013,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,0.12,1550,82.75
Mexico,2012,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,7.67,0.12,1200,82.75
Mexico,2012,8.08,8.17,8,8,7.83,7.92,6.67,10,10,8.08,0.12,1200,82.75
Panama,2012,7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,7.58,0,1100,82.75
Taiwan,2016,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,0,650,82.75
Brazil,2015,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,0.11,905,82.83
Brazil,2015,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,0.12,900,82.83
Colombia,2014,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,0,1600,82.83
Colombia,2013,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,0,1800,82.83
Colombia,2013,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,0.11,1775,82.83
El Salvador,2016,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,0,1250,82.83
El Salvador,2010,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,7.25,0,1200,82.83
Guatemala,2017,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,0.11,1700,82.83
Guatemala,2015,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,0.11,50,82.83
Guatemala,2014,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,0.1,1500,82.83
Guatemala,2012,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,0.11,343.9270541,82.83
Kenya,2017,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,0.1,1754,82.83
Mexico,2012,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,0.12,1550,82.83
Mexico,2012,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,0.12,1250,82.83
Mexico,2012,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,7.5,0.11,1380,82.83
Rwanda,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,0.11,1900,82.83
Tanzania (United Republic Of),2012,7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,0.11,1400,82.83
United States,2014,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,7.58,0,1200,82.83
Vietnam,2014,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0.11,1040,82.83
Brazil,2017,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,0,890,82.92
Brazil,2014,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,0.11,11000,82.92
Colombia,2017,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,0.11,1500,82.92
Colombia,2013,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,0.11,1900,82.92
Colombia,2013,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,0,1750,82.92
Colombia,2013,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,0.11,1450,82.92
Colombia,2011,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,0.15,1450,82.92
El Salvador,2017,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,0,1350,82.92
Ethiopia,2016,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,0,2000,82.92
Guatemala,2014,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,0.1,1500,82.92
Guatemala,2014,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,0.1,1500,82.92
Guatemala,2013,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,0.11,399.483072,82.92
