Country_of_Origin,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,farm_altitude_mean_meters,Total_Cup_Points
Mexico,2015,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,0.13,1059,82.92
Mexico,2015,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,0.12,1300,82.92
Mexico,2012,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,0.1,1248,82.92
Mexico,2012,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,0.14,1400,82.92
Philippines,2015,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,0.11,1200,82.92
Philippines,2014,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,0,1600,82.92
Taiwan,2016,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,0.09,464.5152,82.92
Taiwan,2014,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,0,775,82.92
Uganda,2013,8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,0.12,1650,82.92
Uganda,2013,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,0.12,1400,82.92
Vietnam,2012,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,0,1040,82.92
Brazil,2017,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,0,890,83
Brazil,2016,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,0.11,894,83
Brazil,2016,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,0.11,872,83
Brazil,2014,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,0,1000,83
Brazil,2013,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,0.12,1250,83
Colombia,2016,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,0.11,527.6892672,83
Colombia,2013,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,0.11,1775,83
Colombia,2013,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,0,1750,83
Colombia,2013,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,0.11,1000,83
Colombia,2013,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,0,1000,83
Colombia,2012,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,0.11,1775,83
Colombia,2012,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,0,1625,83
Colombia,2012,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,0.11,1750,83
Colombia,2011,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,0.12,1775,83
Colombia,2011,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,0.08,1450,83
Colombia,2011,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,0.06,1800,83
Costa Rica,2013,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,0.11,1200,83
Guatemala,2015,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,0.11,1550,83
Guatemala,2015,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,0.11,371.61216,83
Guatemala,2015,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,0.11,1500,83
Guatemala,2014,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,0.1,1500,83
Guatemala,2012,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,0.1,371.61216,83
Mexico,2012,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,0.11,750,83
Mexico,2012,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,0.11,1200,83
Mexico,2012,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,0.11,1200,83
Taiwan,2014,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,0.08,1200,83
Uganda,2015,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,0.12,1473,83
Uganda,2015,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,0.12,1645,83
Uganda,2013,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0.12,1800,83
Uganda,2013,8,7.92,7.92,7.75,7.83,7.75,10,10,7.75,8.08,0.12,1212,83
Uganda,2013,8.33,7.83,7.83,7.75,8.25,7.75,10,10,7.58,7.67,0.12,1250,83
United States (Puerto Rico),2013,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,0,1,83
Vietnam,2014,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,0,1550,83
Brazil,2015,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,0.11,905,83.08
Brazil,2015,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,0,399.483072,83.08
Brazil,2014,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,0,1200,83.08
Colombia,2016,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,0,1799,83.08
Colombia,2010,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,0.08,1880,83.08
Costa Rica,2014,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,0.1,1300,83.08
Indonesia,2010,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,0,1350,83.08
Mexico,2012,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,1400,83.08
Taiwan,2015,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,0,750,83.08
Taiwan,2013,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,0.11,1300,83.08
Brazil,2017,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,0.11,890,83.17
Brazil,2012,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,0.12,1000,83.17
Brazil,2012,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,0.11,950,83.17
Brazil,2011,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,0.12,1000,83.17
Brazil,2011,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,0.02,900,83.17
China,2015,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,0.11,1200,83.17
China,2015,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,0.1,1600,83.17
Colombia,2014,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,0,1775,83.17
Colombia,2012,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,0.11,1775,83.17
Colombia,2012,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,0.11,1750,83.17
El Salvador,2016,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,0,1350,83.17
El Salvador,2010,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,0.14,1200,83.17
Guatemala,2017,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,0.1,1901,83.17
Guatemala,2016,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,0.11,1500,83.17
Guatemala,2015,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,0.11,1500,83.17
Guatemala,2015,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,0.12,1650,83.17
Guatemala,2014,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,0.09,399.483072,83.17
Guatemala,2013,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,0.11,340.3967386,83.17
Guatemala,2012,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,0,371.61216,83.17
Honduras,2016,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,1450,83.17
Honduras,2013,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,0.1,1450,83.17
Honduras,2014,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,1350,83.17
Kenya,2014,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,464.5152,83.17
Mexico,2013,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,0.11,1500,83.17
Mexico,2012,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,0.12,534.19248,83.17
Mexico,2012,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,0.14,1089,83.17
Mexico,2012,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,0.13,700,83.17
Mexico,2012,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,0.11,1380,83.17
Tanzania (United Republic Of),2016,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,0.12,442,83.17
Tanzania (United Republic Of),2014,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,0.13,1653,83.17
Tanzania (United Republic Of),2014,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,0.12,1800,83.17
Thailand,2014,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,0.12,800,83.17
Uganda,2014,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,0.1,1800,83.17
Vietnam,2017,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0.07,1550,83.17
Brazil,2012,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,1200,83.25
Colombia,2015,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,0,525,83.25
Colombia,2014,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,0,1483,83.25
Colombia,2013,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,0.11,1750,83.25
Colombia,2012,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,0.12,442,83.25
Colombia,2012,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,0.11,1775,83.25
Colombia,2011,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,0.08,1700,83.25
Colombia,2010,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,0.13,1880,83.25
Colombia,2010,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,0.04,1800,83.25
Costa Rica,2016,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,0.11,1900,83.25
Guatemala,2016,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,0.11,2100,83.25
Guatemala,2014,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,0.1,1500,83.25
Guatemala,2012,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,0.11,335.1012653,83.25
India,2015,7.92,7.83,7.92,8,7.83,7.92,10,10,7.83,8,0,1000,83.25
Mexico,2017,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,0.11,1600,83.25
Mexico,2015,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,0.12,1261,83.25
Mexico,2013,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0.12,1300,83.25
Mexico,2012,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,0.12,1000,83.25
Taiwan,2015,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,0.1,1000,83.25
Taiwan,2014,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,0.1,800,83.25
Brazil,2015,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,0.1,1227,83.33
Burundi,2012,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,0,1880,83.33
Colombia,2016,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,0,1650,83.33
Colombia,2015,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11,1650,83.33
Colombia,2013,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11,1000,83.33
Colombia,2012,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0,1750,83.33
Costa Rica,2014,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12,1300,83.33
Costa Rica,2013,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11,1200,83.33
Guatemala,2013,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11,325.16064,83.33
Haiti,2012,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11,250.5,83.33
Mexico,2014,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,0.12,1200,83.33
Mexico,2013,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12,1100,83.33
Tanzania (United Republic Of),2014,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12,1700,83.33
Colombia,2017,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,0,464.5152,83.42
Colombia,2016,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,0.11,520.257024,83.42
Colombia,2015,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,0.12,520.257024,83.42
Colombia,2014,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,0.12,1813,83.42
Colombia,2012,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,0.11,1450,83.42
Costa Rica,2016,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,0.09,1850,83.42
El Salvador,2016,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,0.11,1330,83.42
Guatemala,2017,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,0.1,1700,83.42
Guatemala,2013,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,0.1,48.12377472,83.42
Guatemala,2014,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,0.1,1500,83.42
Guatemala,2013,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,0.11,300,83.42
Tanzania (United Republic Of),2014,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,0.13,1600,83.42
Thailand,2015,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,0.13,1200,83.42
Uganda,2015,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,0.11,1800,83.42
Colombia,2016,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,0,1799,83.5
Colombia,2016,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,0,1000,83.5
Colombia,2015,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,0.12,1775,83.5
Colombia,2014,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,0.11,1850,83.5
Colombia,2014,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,0,1650,83.5
Colombia,2013,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,0,1750,83.5
Colombia,2013,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,0.11,1750,83.5
Colombia,2012,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,0.11,1775,83.5
Costa Rica,2015,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,0,1850,83.5
Ethiopia,2014,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,0.1,1600,83.5
Guatemala,2016,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.1,48.12377472,83.5
Guatemala,2013,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,0.1,1400,83.5
Guatemala,2012,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,0.1,399.483072,83.5
Guatemala,2012,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,0,371.61216,83.5
Honduras,2014,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,0.1,1350,83.5
India,2017,8,7.75,7.92,8,7.92,7.92,10,10,8,8,0,3170,83.5
Indonesia,2015,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,0.13,1500,83.5
Indonesia,2010,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,0,1600,83.5
Mexico,2012,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,0.13,1170,83.5
Mexico,2012,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,0.11,940,83.5
Mexico,2012,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,0.12,1400,83.5
Tanzania (United Republic Of),2015,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,0.13,1400,83.5
Brazil,2017,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,0.11,890,83.58
Brazil,2012,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,0.12,1100,83.58
China,2015,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.1,1100,83.58
Colombia,2015,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,0.12,1775,83.58
Colombia,2014,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,0,1600,83.58
Colombia,2014,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,0.12,1550,83.58
Colombia,2014,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,0,1550,83.58
Colombia,2012,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,0.11,1775,83.58
Colombia,2012,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.11,2136,83.58
Ethiopia,2014,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,0,1850,83.58
Guatemala,2016,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.11,12,83.58
Mexico,2014,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,0.12,1200,83.58
Mexico,2012,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,0.12,1000,83.58
Taiwan,2013,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,0.11,1000,83.58
Uganda,2013,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,0.12,1800,83.58
Brazil,2017,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,0.11,890,83.67
Brazil,2016,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,0.11,934,83.67
Colombia,2014,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,0.11,1625,83.67
Colombia,2013,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,0,1750,83.67
Colombia,2013,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,0,1900,83.67
Colombia,2012,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,0.11,1750,83.67
Guatemala,2014,8,7.5,7.33,8,8,8,9.33,10,10,7.5,0.1,371.61216,83.67
Guatemala,2013,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,0.12,260.128512,83.67
Guatemala,2013,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,0.11,278.70912,83.67
Guatemala,2012,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,0.11,1450,83.67
Guatemala,2012,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,0.11,280,83.67
Guatemala,2012,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,0.1,399.483072,83.67
Honduras,2016,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,0.1,1400,83.67
Indonesia,2012,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,0.12,1400,83.67
Kenya,2017,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,0.11,1700,83.67
Mexico,2012,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,0.12,1100,83.67
Nicaragua,2016,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,0.1,1250,83.67
Taiwan,2015,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,0.1,1200,83.67
Thailand,2014,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,0.12,800,83.67
Brazil,2017,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,0.11,890,83.75
China,2015,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,0.1,1650,83.75
Colombia,2017,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,0.11,520.257024,83.75
Colombia,2015,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,0,520.257024,83.75
Colombia,2014,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,0,1775,83.75
Colombia,2014,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,0,1550,83.75
Colombia,2013,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,0,1750,83.75
Colombia,2013,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,0.11,1750,83.75
Colombia,2011,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,0.1,1600,83.75
Colombia,2010,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,0.06,1600,83.75
Guatemala,2012,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,0.11,1300,83.75
Mexico,2012,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,0.13,700,83.75
Taiwan,2016,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,0,750,83.75
Uganda,2013,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,0.12,1400,83.75
Uganda,2013,7.83,8.08,7.75,7.92,8.25,7.92,10,10,8,8,0.12,1488,83.75
United States (Puerto Rico),2013,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,0.12,1,83.75
Brazil,2015,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,0,399.483072,83.83
Brazil,2014,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,0,1200,83.83
Brazil,2013,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,0.1,1260,83.83
Brazil,2011,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,0.12,1250,83.83
Colombia,2017,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,0,2527,83.83
Colombia,2013,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,0.11,1750,83.83
Costa Rica,2015,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,0,1850,83.83
Costa Rica,2013,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,0.1,1300,83.83
Ecuador,2013,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,0.09,800,83.83
Ethiopia,2014,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,0.12,1676.5,83.83
